gesture_name,capture_number,handedness,score,0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z
pointing,77,-1,0.992376328,0.279506028,0.746691525,1.40E-08,0.329955071,0.723101616,-0.019894771,0.377274871,0.65987581,-0.030999959,0.388583243,0.588922858,-0.042280599,0.35948953,0.554775,-0.0540796,0.355484873,0.508251846,-0.01793001,0.371931225,0.42782557,-0.038465239,0.380766958,0.372483492,-0.051297769,0.387843728,0.318696201,-0.06036707,0.316960722,0.487195879,-0.020482147,0.331335247,0.489223331,-0.055256467,0.329374224,0.581159234,-0.064491257,0.325012714,0.636770666,-0.061763812,0.278401464,0.495554835,-0.02499439,0.294227779,0.527577221,-0.059759494,0.296546131,0.613121331,-0.056262605,0.295146465,0.658377886,-0.044176478,0.239875644,0.51981473,-0.031265341,0.257209599,0.562887013,-0.054612227,0.267413586,0.631825209,-0.0514911,0.271397114,0.665389776,-0.042286996
pointing,78,-1,0.991559744,0.272883594,0.763263583,6.48E-10,0.324397087,0.742171407,-0.016477283,0.372556031,0.678088307,-0.024600163,0.386608183,0.609316647,-0.033569179,0.358708948,0.575980961,-0.043225538,0.356036365,0.531271398,-0.012108749,0.376420707,0.449450552,-0.031456694,0.388540596,0.396821916,-0.043603919,0.397634268,0.345343471,-0.052409068,0.318418592,0.511360705,-0.016157938,0.332052708,0.499493897,-0.050898973,0.329310536,0.593617201,-0.059771262,0.323732853,0.652118564,-0.056529026,0.279840559,0.518424869,-0.022239724,0.293655843,0.540217102,-0.057771619,0.295516819,0.628040016,-0.054424435,0.293341428,0.674436152,-0.042128924,0.240938485,0.541431546,-0.029666416,0.255553901,0.577605247,-0.053965412,0.263916939,0.647683203,-0.051169906,0.266758978,0.681659281,-0.042246711
pointing,79,-1,0.995634496,0.234433591,0.823816419,1.63E-09,0.281435192,0.802985907,-0.019659543,0.331018716,0.743038595,-0.031072389,0.337627232,0.683945537,-0.042741131,0.303924292,0.653855085,-0.055068262,0.308016598,0.579987705,-0.017934654,0.321723491,0.501394153,-0.038070973,0.326970547,0.450778425,-0.051483486,0.330371588,0.400963187,-0.061525721,0.268505543,0.560270607,-0.021408077,0.274388611,0.579761326,-0.054254059,0.275305003,0.675126433,-0.064130545,0.273920178,0.718048811,-0.063587785,0.228010446,0.576869488,-0.026721843,0.235378057,0.614964724,-0.060332324,0.242176503,0.697562158,-0.056178469,0.244100809,0.727253914,-0.045273773,0.186867565,0.609277785,-0.033564288,0.199021593,0.643784642,-0.055234384,0.213234961,0.708282053,-0.048598766,0.2195324,0.73174566,-0.037884023
pointing,80,-1,0.995396435,0.22979635,0.831820369,-3.30E-09,0.276030391,0.803627491,-0.017542051,0.323020697,0.741313756,-0.027814118,0.327855051,0.681158423,-0.03846433,0.292988926,0.654207766,-0.05017243,0.298098803,0.582799375,-0.017419515,0.309963942,0.505273402,-0.03742861,0.31426239,0.452732861,-0.050952759,0.316548496,0.399224222,-0.061132796,0.256879747,0.562563241,-0.021609209,0.261321604,0.577310681,-0.053672306,0.263180584,0.674565136,-0.063041814,0.263717622,0.725471795,-0.061977599,0.215326518,0.580132842,-0.027380705,0.222699493,0.614248276,-0.061285183,0.231736198,0.699432075,-0.057699993,0.236414611,0.736428082,-0.04671248,0.173731297,0.615632594,-0.034324218,0.185368016,0.647073746,-0.057867803,0.202021837,0.713829458,-0.052457616,0.2111696,0.741990685,-0.04200061
pointing,81,-1,0.996931016,0.196527913,0.821685195,5.22E-08,0.240475029,0.790816367,-0.023158735,0.290196151,0.727347434,-0.036130328,0.284541249,0.666354418,-0.047885403,0.247743532,0.6341905,-0.059760302,0.265700907,0.574831665,-0.024319421,0.275480837,0.491677642,-0.046281811,0.27672559,0.436640382,-0.0593195,0.27597636,0.381475151,-0.068713225,0.221132398,0.553810835,-0.025825413,0.223885119,0.562149048,-0.060662724,0.225074634,0.659320772,-0.070062444,0.226262644,0.706341982,-0.068055876,0.178970218,0.567075968,-0.029214431,0.18309775,0.609009683,-0.064207397,0.192236573,0.694366455,-0.060461544,0.198328778,0.727093995,-0.048887447,0.136848956,0.597650766,-0.03434182,0.146332517,0.645164311,-0.057135887,0.163370609,0.710952044,-0.052269954,0.174418703,0.732888401,-0.041971568
pointing,82,-1,0.997180283,0.192253098,0.816651583,4.05E-08,0.2354936,0.77981627,-0.029253678,0.282713622,0.709703565,-0.044880778,0.272691548,0.644837618,-0.058028631,0.233381569,0.611554027,-0.07065963,0.252561629,0.559203565,-0.032415628,0.257236004,0.471230388,-0.058027286,0.252515167,0.413966,-0.072697759,0.245473355,0.354517192,-0.083166242,0.20946689,0.542602539,-0.031663783,0.20648706,0.546673596,-0.071434475,0.21351321,0.646975994,-0.081227034,0.220324606,0.693383276,-0.078571901,0.16869399,0.556866467,-0.033344023,0.166524291,0.599827886,-0.072915852,0.180628926,0.690243661,-0.068484351,0.191000566,0.723847032,-0.055269059,0.127533227,0.587133765,-0.037352689,0.132255942,0.635806918,-0.063809417,0.15280062,0.703871727,-0.059692923,0.166426495,0.725720763,-0.049174339
pointing,83,-1,0.996751189,0.20023945,0.819974065,3.17E-08,0.242622212,0.777991951,-0.027405253,0.287602037,0.702752173,-0.042171344,0.275312394,0.640538812,-0.055006865,0.234813854,0.615200877,-0.067382149,0.251212478,0.555846035,-0.028951867,0.251283526,0.466303527,-0.053061333,0.244118646,0.409050643,-0.067031555,0.23489064,0.351735145,-0.077221207,0.207863763,0.545014381,-0.029170481,0.204527885,0.552328408,-0.068247303,0.214379445,0.648692727,-0.078942813,0.222234771,0.69431448,-0.076978244,0.168397263,0.565551698,-0.031635839,0.167281732,0.610464752,-0.069860674,0.184233189,0.696137428,-0.066372178,0.195535287,0.727442443,-0.054159001,0.129581064,0.602634788,-0.036380254,0.135348767,0.655127883,-0.061777681,0.156897098,0.718274593,-0.058303673,0.170889258,0.736300111,-0.048515547
pointing,84,-1,0.994768381,0.214673832,0.79194665,4.41E-08,0.258770257,0.748582006,-0.029271392,0.301231295,0.665145457,-0.04374858,0.286885113,0.603003383,-0.056263063,0.246199057,0.57837975,-0.06863077,0.256999791,0.526853025,-0.028645648,0.253045738,0.429541945,-0.052519966,0.243596151,0.370636106,-0.066354655,0.233632267,0.313626975,-0.076103412,0.214034274,0.528589368,-0.027538035,0.208202556,0.516422272,-0.068069197,0.222126916,0.610346556,-0.079149969,0.234387949,0.661649644,-0.076730616,0.175694272,0.55397439,-0.028821507,0.170792311,0.570262671,-0.06928464,0.192095622,0.656930029,-0.065378577,0.207633197,0.697827578,-0.05177474,0.138210148,0.59331876,-0.032194655,0.1401169,0.613479197,-0.060300149,0.164019108,0.677448809,-0.056241252,0.181378737,0.704824984,-0.045186665
pointing,85,-1,0.994752705,0.227800533,0.789264381,1.75E-08,0.270407557,0.746641338,-0.025528669,0.313912511,0.664280474,-0.038170122,0.304623097,0.597307563,-0.049275786,0.266362727,0.568846107,-0.060148779,0.275409162,0.521750271,-0.025493678,0.279723525,0.428705931,-0.048244849,0.27639854,0.370396882,-0.060720485,0.270666033,0.312959015,-0.069475137,0.230789036,0.513611794,-0.025649009,0.230312556,0.510330856,-0.063640669,0.241920397,0.607411265,-0.073239699,0.249649465,0.657464862,-0.070233107,0.190962791,0.534403145,-0.02796118,0.193540081,0.56803745,-0.066576645,0.211999893,0.656223834,-0.062672511,0.223037779,0.692640007,-0.049573235,0.15233013,0.571336687,-0.032121602,0.161504418,0.608953774,-0.057985015,0.184193105,0.675051272,-0.053968631,0.198012576,0.698875368,-0.043447755
pointing,86,-1,0.995924473,0.205774039,0.773785472,5.19E-08,0.254402488,0.744382799,-0.028037334,0.306915849,0.675017238,-0.042775538,0.306906074,0.600706816,-0.055743642,0.269765884,0.561192751,-0.068622887,0.280075341,0.519754887,-0.027955215,0.293210745,0.428894579,-0.053664982,0.296677202,0.367761672,-0.068913378,0.296705604,0.306416422,-0.079669133,0.235482693,0.497444481,-0.028149232,0.238070831,0.490478873,-0.069754668,0.240121171,0.59289062,-0.080467433,0.242164671,0.648890197,-0.077351853,0.193117663,0.506230235,-0.03090019,0.196654588,0.537682354,-0.071240038,0.206590667,0.633661985,-0.066535398,0.213332504,0.677170455,-0.052417345,0.151743174,0.533563852,-0.035969101,0.159793079,0.583102286,-0.063307345,0.175574169,0.654595256,-0.060113683,0.186899602,0.680188119,-0.04979432
